"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s was updated in your shopping cart.","%s đã được cập nhật vào giỏ hàng của bạn."
"* Required Fields","(*): bắt buộc"
"Promotion code/Gift code","Mã khuyến mãi/Mã quà tặng"
"Other information","Thông tin khác"
"Check order again","Kiểm tra lại đơn hàng"
"Amount freeship:","Số lần freeship:"
"Use freeship","Sử dụng freeship"
"Your current F-Point is:","Số F-Point hiện có:"
"Promotion code/Gift","Mã KM/Quà tặng"
"Press promotion code/Gift","Nhập mã khuyến mãi/Quà tặng"
"Press note","Nhập ghi chú"
"Order Confirmation","Xác nhận thanh toán"
"Total Amount","Tổng số tiền"
"%s eligible rewards","%s khuyến mãi đủ điều kiện"
"Applied", "Đã áp dụng"
"Terms & Conditions","Điều kiện áp dụng"
"Payment VNPAY tutorial","Hướng dẫn thanh toán VNPAY"
"Detail","Chi tiết"
"View less","Rút gọn"
"Choose code","Chọn mã khuyến mãi"
"Coupon code applied","Mã đã được áp dụng"
"Coupon code has been canceled","Mã đã được hủy"
"Cancel apply","Hủy áp dụng"
"Don't have promotion","Không có khuyến mãi nào"
"Selling out","Sắp hết"
"My rewards","Khuyến mãi hiện hành"
"Get more rewards","Khuyến mãi gần đạt"
"Rewards","Khuyến mãi"
"Reorder","Đặt Hàng Lại"
"Can't connect to server, please try again.", "Không thể kết nối đến máy chủ, vui lòng thử lại."
"My rewards ","Voucher hiện hành"
"Get more rewards ","Voucher gần đạt"
"Don't have product","Không có sản phẩm nào"
"Event detail","Chi tiết chương trình"
"Choose a delivery time","Chọn thời gian nhận hàng"
"Orders <a href='/sales/order/view/order_id/%s'>#%s</a> is waiting for payment confirmation from partner. Please <a href='/repayment/index/payment/id/%s'>re-payment</a>","Đơn hàng <a href='/sales/order/view/order_id/%s'>#%s</a> đang chờ xác nhận thanh toán từ đối tác. Vui lòng <a href='/repayment/index/payment/id/%s'>thanh toán lại</a>"
"Have <a href='/sales/order/history/'>%s</a> orders be waiting for payment confirmation from partner. Please <a href='/sales/order/history/'>re-payment</a>","Có <a href='/sales/order/history/'>%s</a> đang chờ xác nhận thanh toán từ đối tác. vui lòng <a href='/sales/order/history/'>thanh toán lại</a>"
"Re-payment","Thanh toán lại"
"Change to another payment method","Thay đổi phương thức thanh toán"
"Please select the payment method again to complete the order","Quý khách vui lòng chọn lại phương thức thanh toán để hoàn tất đơn hàng"
"Go back home","Về trang chủ"
"Shipping Fee","Phí Vận Chuyển"
"Discount ","Giảm giá "
"My promotion","Khuyến mãi của tôi"
"Delivery code","Mã vận chuyển"
"Payment code","Mã thanh toán"
"Payment promotion","Ưu đãi thanh toán"
"Other promotion","Ưu đãi khác"
"Max apply: ","Áp dụng tối đa: "
"Apply at e-wallets","Áp dụng tại ví điện tử"
"Automatically applied when conditions are met","Tự động áp dụng khi thỏa điều kiện"
" Cancel ","Bỏ chọn"
"Promotion for total order","Khuyến mãi cho tổng đơn hàng "
"Buy more %s for promotion", "Mua thêm %s để nhận mã"
"Can apply multi promotion","Có thể áp dụng đồng thời nhiều mã"
"Apply up 1 discount code <br/>and 1 freeship code","Áp dụng tối đa 1 mã giảm giá <br/>và 1 mã freeship"
<<<<<<< HEAD
"Select All","Chọn tất cả"
"Quantity","Số lượng"
"School","Trường học"
"Choose alternative product","Chọn sản phẩm thay thế"
"Products are not available in your area","Sản phẩm không có sẵn tại khu vực"
"Product Recommendation","Sản phẩm thay thế đề xuất"
"Choose replace","Chọn thay thế"
"Products are currently not available at the nearest warehouse","Sản phẩm hiện không có sẵn tại kho hàng gần nhất"
"Due to social distancing, some products will be difficult to deliver to %s. To shorten the delivery time, you can choose another alternative product available in your area","Do giãn cách xã hội, một số sản phẩm không có sẵn tại kho nội vùng sẽ gặp khó khăn khi giao hàng đến %s. Để rút ngắn thời gian giao hàng, quý khách vui lòng chọn sản phẩm thay thế khác có sẵn"
"*Delivery may be slower than expected","*Có thể giao chậm hơn dự kiến"
"Some products may be slow to deliver in your selected area.","Một số sản phẩm có thể giao chậm trong khu vực bạn chọn."
"Continue to pay","Tiếp tục thanh toán"
"View now","Xem ngay"
"Add to cart success","Thêm vào giỏ hàng thành công"
"You have not selected any products to buy.","Bạn chưa chọn sản phẩm nào để mua."
